model,input/output,n_tokens,datetime,script
gpt-4-turbo-preview,input,5910,2024-05-08 01:14:17.831486,run_ai.py
gpt-4-turbo-preview,output,935,2024-05-08 01:14:17.831486,run_ai.py
gpt-4-turbo-preview,input,7337,2024-05-08 01:24:27.304088,run_ai.py
gpt-4-turbo-preview,output,509,2024-05-08 01:24:27.305089,run_ai.py
gpt-4-turbo-preview,input,8162,2024-05-08 01:27:42.066304,run_ai.py
gpt-4-turbo-preview,output,750,2024-05-08 01:27:42.067275,run_ai.py
gpt-4-turbo-preview,input,9761,2024-05-08 01:29:37.514787,run_ai.py
gpt-4-turbo-preview,output,556,2024-05-08 01:29:37.515692,run_ai.py
gpt-4-turbo-preview,input,10342,2024-05-08 01:36:15.235153,run_ai.py
gpt-4-turbo-preview,output,798,2024-05-08 01:36:15.235153,run_ai.py
gpt-4-turbo-preview,input,11957,2024-05-08 01:38:45.631979,run_ai.py
gpt-4-turbo-preview,output,950,2024-05-08 01:38:45.632976,run_ai.py
gpt-4-turbo-preview,input,12926,2024-05-08 01:53:31.804442,run_ai.py
gpt-4-turbo-preview,output,822,2024-05-08 01:53:31.804442,run_ai.py
gpt-4-turbo-preview,input,13796,2024-05-08 01:58:45.776156,run_ai.py
gpt-4-turbo-preview,output,933,2024-05-08 01:58:45.777158,run_ai.py
gpt-4-turbo-preview,input,14848,2024-05-08 02:05:11.927920,run_ai.py
gpt-4-turbo-preview,output,606,2024-05-08 02:05:11.928905,run_ai.py
gpt-4-turbo-preview,input,16264,2024-05-08 02:40:20.535378,run_ai.py
gpt-4-turbo-preview,output,581,2024-05-08 02:40:20.535378,run_ai.py
gpt-4-turbo-preview,input,16890,2024-05-08 02:42:06.929356,run_ai.py
gpt-4-turbo-preview,output,620,2024-05-08 02:42:06.930352,run_ai.py
gpt-4-turbo-preview,input,17519,2024-05-08 02:43:39.090246,run_ai.py
gpt-4-turbo-preview,output,632,2024-05-08 02:43:39.091259,run_ai.py
gpt-4-turbo-preview,input,19300,2024-05-08 02:53:35.384207,run_ai.py
gpt-4-turbo-preview,output,620,2024-05-08 02:53:35.385231,run_ai.py
gpt-4-turbo-preview,input,19936,2024-05-08 02:55:18.617081,run_ai.py
gpt-4-turbo-preview,output,725,2024-05-08 02:55:18.618074,run_ai.py
